"period_year" "period_no" "period_week" "item_no" "u_sales"
"1" 2013 1 3 15038 45
"2" 2014 3 12 1743 1
"3" 2013 1 4 50674 90
"4" 2015 1 1 49019 14
"5" 2014 1 2 10082 1
"6" 2015 1 1 13831 2
"7" 2014 2 8 7518 100
"8" 2014 1 3 31609 1
"9" 2014 1 3 10361 7
"10" 2015 2 6 52256 10
"11" 2015 2 6 50859 1620
"12" 2014 1 2 48233 11
"13" 2015 1 2 15000 3
"14" 2015 2 9 8862 100
"15" 2015 3 12 48709 14
"16" 2015 2 9 74724 17
"17" 2014 3 11 11059 366
"18" 2015 3 11 7500 3
"19" 2015 1 4 73222 3
"20" 2013 2 8 17047 2
"21" 2014 3 11 12058 18
"22" 2014 1 5 15095 2
"23" 2015 3 10 9786 9
"24" 2013 2 9 54403 72
"25" 2014 3 11 7544 1
"26" 2014 3 12 52268 4
"27" 2013 1 4 31822 2550
"28" 2014 1 4 8075 2
"29" 2015 1 4 10368 4
"30" 2014 3 12 11109 4
"31" 2015 2 6 9989 14
"32" 2015 3 11 11616 6
"33" 2014 3 10 48931 11
"34" 2014 2 7 74776 3
"35" 2015 1 2 58326 177
"36" 2015 1 4 51805 32
"37" 2013 1 5 48219 2
"38" 2013 1 1 8077 1
"39" 2015 1 3 15050 16
"40" 2015 3 12 8669 2
"41" 2014 2 9 8796 12
"42" 2013 1 3 19950 7
"43" 2014 2 7 9804 1197
"44" 2013 2 7 19333 45
"45" 2014 3 12 8773 221
"46" 2013 3 12 51804 6
"47" 2015 2 9 14604 5
"48" 2014 1 5 40027 78
"49" 2015 2 9 48902 6
"50" 2014 1 3 11987 29
"51" 2015 1 3 48240 63
"52" 2015 1 5 1450 3
"53" 2015 1 4 8250 238
"54" 2013 1 5 10913 1
"55" 2013 2 9 8621 4
"56" 2013 2 6 92284 11
"57" 2013 2 8 12195 4
"58" 2015 3 10 8160 503
"59" 2013 1 4 11573 10
"60" 2014 2 6 5300 4
"61" 2013 2 6 41650 5
"62" 2014 2 9 9795 92
"63" 2015 1 5 8792 3
"64" 2014 1 3 74706 72
"65" 2013 1 5 9914 87
"66" 2015 2 8 12147 6
"67" 2015 2 9 9861 55
"68" 2014 3 11 49811 6
"69" 2013 2 9 31724 157
"70" 2015 2 9 9463 7
"71" 2013 1 4 19602 48
"72" 2013 1 5 8889 2
"73" 2014 2 8 8119 2
"74" 2014 1 5 41653 6
"75" 2013 2 8 9679 9
"76" 2015 3 12 74242 2
"77" 2015 2 9 12088 20
"78" 2015 1 4 9876 960
"79" 2013 1 3 9694 39
"80" 2014 2 9 6460 86
"81" 2014 2 7 9094 29
"82" 2015 3 10 17417 6
"83" 2013 1 2 12243 5
"84" 2014 3 11 55842 600
"85" 2015 3 10 19332 9
"86" 2013 2 7 7511 26
"87" 2013 3 12 34240 1
"88" 2013 2 6 52244 8
"89" 2013 3 10 10943 2
"90" 2015 2 6 8592 22
"91" 2015 3 10 11074 20
"92" 2014 2 7 79290 1
"93" 2015 2 6 15044 1
"94" 2014 1 5 18381 56
"95" 2015 3 11 52283 12
"96" 2014 3 12 13625 16
"97" 2013 1 4 9346 4
"98" 2014 2 7 8576 41
"99" 2014 2 6 46966 20
"100" 2014 2 7 11719 36
"101" 2013 2 7 11965 6
"102" 2015 3 11 74988 3
"103" 2013 3 12 12451 1
"104" 2013 3 12 8020 236
"105" 2014 3 12 16141 6
"106" 2014 1 2 46607 201
"107" 2015 1 5 9708 14
"108" 2013 1 5 17027 13
"109" 2013 3 10 11052 1
"110" 2015 2 6 30467 30
"111" 2015 2 6 21811 15
"112" 2013 1 4 11862 3
"113" 2013 1 4 20518 5
"114" 2014 2 9 17054 30
"115" 2013 2 8 58315 100
"116" 2015 1 3 74798 4
"117" 2014 2 6 11440 780
"118" 2013 1 2 18383 47
"119" 2015 1 3 49010 48
"120" 2014 2 8 15198 4
"121" 2015 3 10 8558 39
"122" 2013 1 2 10042 4
"123" 2015 2 9 10777 12
"124" 2015 2 9 73124 2
"125" 2014 3 10 9203 1
"126" 2014 3 12 9400 22
"127" 2014 1 3 9651 2
"128" 2015 2 9 16204 1
"129" 2014 1 5 15805 20
"130" 2015 1 1 27422 1
"131" 2013 3 11 13798 3
"132" 2013 1 2 48370 1
"133" 2014 2 6 30292 533
"134" 2014 2 6 12353 5
"135" 2015 1 4 7540 1
"136" 2015 1 1 39965 1
"137" 2015 1 2 8548 1
"138" 2015 1 1 18371 5
"139" 2015 1 4 52094 84
"140" 2014 2 7 10405 78
"141" 2015 2 9 39908 56
"142" 2014 2 6 18831 5
"143" 2015 2 8 28062 18
"144" 2013 3 12 31810 14
"145" 2013 2 9 51804 11
"146" 2013 2 9 2169 10
"147" 2015 1 5 14958 12
"148" 2015 1 5 4387 7
"149" 2014 3 11 17090 373
"150" 2014 1 5 46479 200
"151" 2013 2 9 11764 4
"152" 2015 3 11 76299 2
"153" 2015 2 8 41281 5
"154" 2014 3 12 17054 19
"155" 2014 1 5 9064 15
"156" 2015 3 11 74673 540
"157" 2013 3 11 48926 72
"158" 2015 2 6 73335 297
"159" 2015 1 4 19734 12
"160" 2014 3 12 49812 5
"161" 2013 1 2 51851 62
"162" 2014 2 6 49963 5
"163" 2014 3 10 50820 89
"164" 2013 2 8 19334 4
"165" 2015 3 12 11065 21
"166" 2014 2 8 48955 24
"167" 2013 2 7 11026 4
"168" 2015 2 9 52248 9
"169" 2015 3 12 11955 121
"170" 2013 3 11 74737 5
"171" 2013 2 9 18385 72
"172" 2014 2 7 11922 3
"173" 2014 3 12 52437 21
"174" 2013 1 5 36506 26
"175" 2014 2 9 10914 2
"176" 2014 3 10 9721 43
"177" 2015 3 10 75817 78
"178" 2014 2 6 4012 3
"179" 2014 3 10 20315 3
"180" 2014 1 2 15332 1
"181" 2014 3 12 11830 1
"182" 2013 3 11 9765 184
"183" 2013 3 12 1339 0
"184" 2014 1 4 8184 6
"185" 2014 3 10 13345 4
"186" 2014 1 1 15053 54
"187" 2015 2 7 20524 4
"188" 2013 3 12 10934 14
"189" 2013 1 5 10406 7
"190" 2014 1 2 30102 2
"191" 2013 2 9 652 4
"192" 2013 2 7 13651 2
"193" 2015 3 10 8220 431
"194" 2013 3 11 48239 7
"195" 2014 1 4 9472 50
"196" 2014 2 8 92281 6
"197" 2013 1 3 31374 197
"198" 2015 3 12 92433 3
"199" 2015 3 12 4324 7
"200" 2013 1 1 15047 57
"201" 2013 2 9 47001 74
"202" 2013 1 2 48167 10
"203" 2013 2 9 11644 2065
"204" 2015 2 7 48911 10
"205" 2014 1 2 13706 37
"206" 2014 2 7 11032 1
"207" 2013 3 10 11713 65
"208" 2014 2 8 9974 5
"209" 2014 1 5 53137 15
"210" 2013 3 11 11992 12
"211" 2013 2 7 9798 29
"212" 2015 2 6 18018 11
"213" 2013 3 11 41896 17
"214" 2015 2 6 92296 7
"215" 2014 3 10 12346 2
"216" 2014 1 5 11640 2
"217" 2015 3 11 74759 1
"218" 2015 1 3 31277 1
"219" 2014 2 7 9695 66
"220" 2013 1 2 8957 4
"221" 2015 2 8 92287 1
"222" 2015 1 1 41651 1
"223" 2013 2 6 17826 1
"224" 2013 2 9 51117 67
"225" 2015 1 5 7530 3
"226" 2015 3 10 9846 1136
"227" 2015 3 12 28062 18
"228" 2014 3 11 9662 27
"229" 2013 2 9 8730 9
"230" 2015 2 6 76561 3
"231" 2015 1 5 10358 559
"232" 2013 1 4 48158 23
"233" 2014 2 7 9406 180
"234" 2015 3 12 41281 7
"235" 2015 1 5 31606 219
"236" 2015 2 6 10387 4
"237" 2013 2 7 9400 47
"238" 2015 2 9 28484 227
"239" 2015 1 4 76568 2
"240" 2014 3 11 8663 28
"241" 2013 1 3 8008 13
"242" 2013 3 12 48289 10
"243" 2014 1 5 74723 4
"244" 2015 3 11 19382 19
"245" 2013 3 10 75085 1
"246" 2013 1 4 50445 850
"247" 2014 2 9 8916 59
"248" 2013 1 4 8576 75
"249" 2013 1 4 9864 5
"250" 2013 1 4 47050 3
"251" 2015 1 2 17024 17
"252" 2014 2 7 11633 45
"253" 2015 1 5 99984 -2
"254" 2015 2 9 8922 83
"255" 2015 3 11 76385 2
"256" 2015 3 12 76326 5
"257" 2014 3 11 39987 73
"258" 2015 2 9 58388 1
"259" 2015 2 7 35091 5
"260" 2014 2 6 10381 8
"261" 2014 2 6 11981 5
"262" 2013 2 8 11076 1
"263" 2014 2 8 73320 19
"264" 2014 1 3 50690 319
"265" 2013 3 11 17024 51
"266" 2013 1 3 16146 1
"267" 2015 2 6 11987 7
"268" 2013 2 8 15192 14
"269" 2013 1 1 11243 2
"270" 2015 1 4 10079 18
"271" 2014 1 4 52280 120
"272" 2013 2 6 48357 411
"273" 2013 3 12 46978 61
"274" 2013 3 12 11644 1569
"275" 2013 3 10 47986 5
"276" 2013 1 4 8865 1821
"277" 2014 2 6 8154 90
"278" 2013 1 5 8829 85
"279" 2013 1 1 52090 24
"280" 2015 1 3 8850 125
"281" 2014 3 10 11636 90
"282" 2013 3 11 8248 72
"283" 2015 3 10 10158 3
"284" 2013 1 5 13343 11
"285" 2014 3 12 48212 4
"286" 2014 3 10 5894 3
"287" 2014 3 12 34103 13
"288" 2013 1 4 10777 6
"289" 2013 2 6 50667 3
"290" 2013 1 4 73124 1
"291" 2014 2 9 30476 62
"292" 2015 1 2 10775 14
"293" 2013 2 8 11992 4
"294" 2013 2 8 8162 234
"295" 2015 1 5 10046 50
"296" 2013 1 4 74727 31
"297" 2013 2 7 26735 4
"298" 2014 3 10 8121 412
"299" 2013 3 12 53141 1
"300" 2014 1 2 6026 29
"301" 2013 3 11 31614 30
"302" 2013 2 9 10934 24
"303" 2014 1 3 11732 22
"304" 2013 2 6 19426 1
"305" 2015 1 4 2711 1
"306" 2015 1 5 92436 5
